Timestamp,Date,Time,Soil_Moisture,Soil_Status,Temperature_C,Humidity_Percent,Weather_Description,Weather_Temp_C,Weather_Humidity,Rain_Coming,Decision,Water_Saved_L,Irrigation_Count
2025-10-14 20:18:19,2025-10-14,20:18:19,19,WET,32.7,32.0,Clear,27.8,28,No,STOP,0,0
2025-10-14 20:19:20,2025-10-14,20:19:20,19,WET,32.8,32.0,Clear,27.8,28,No,STOP,0,0
2025-10-14 20:20:21,2025-10-14,20:20:21,734,DRY,32.8,32.0,Clear,27.8,28,No,IRRIGATE,0,2
2025-10-14 20:23:58,2025-10-14,20:23:58,20,WET,32.8,32.0,Clear,27.8,28,No,STOP,0,0
2025-10-14 20:24:59,2025-10-14,20:24:59,18,WET,32.8,32.0,Clear,27.8,28,No,STOP,0,0
2025-10-14 20:26:05,2025-10-14,20:26:05,736,DRY,32.8,34.0,Clear,27.8,28,No,IRRIGATE,0,3
2025-10-14 20:27:05,2025-10-14,20:27:05,49,WET,32.8,33.0,Clear,27.8,28,No,STOP,0,6
2025-10-14 20:28:06,2025-10-14,20:28:06,45,WET,32.8,33.0,Clear,27.8,28,No,STOP,0,6
2025-10-14 20:29:08,2025-10-14,20:29:08,25,WET,32.6,32.0,Clear,27.8,28,No,STOP,0,10
2025-10-14 20:30:09,2025-10-14,20:30:09,26,WET,32.8,32.0,Clear,27.8,28,No,STOP,0,10
2025-10-14 20:31:10,2025-10-14,20:31:10,21,WET,32.8,32.0,Clear,27.8,28,No,STOP,0,10
2025-10-14 20:31:21,2025-10-14,20:31:21,20,WET,32.8,32.0,Clear,27.8,28,No,STOP,0,10
2025-10-14 20:31:31,2025-10-14,20:31:31,20,WET,32.8,32.0,Clear,27.8,28,No,STOP,0,10
2025-10-14 20:31:54,2025-10-14,20:31:54,16,WET,32.3,33.0,Clear,27.8,28,No,STOP,0,10
2025-10-14 20:32:08,2025-10-14,20:32:08,19,WET,32.3,32.0,Clear,27.8,28,No,STOP,0,10
2025-10-14 20:32:11,2025-10-14,20:32:11,19,WET,32.3,32.0,Clear,27.8,28,No,STOP,0,10
2025-10-14 20:34:30,2025-10-14,20:34:30,702,WET,32.3,33.0,Clear,27.8,28,No,STOP,0,7
2025-10-14 20:34:47,2025-10-14,20:34:47,0,DRY,32.3,32.0,Clear,27.8,28,No,IRRIGATE,0,10
2025-10-14 20:35:33,2025-10-14,20:35:33,0,DRY,32.3,33.0,Clear,27.8,28,No,IRRIGATE,0,17
2025-10-14 20:40:26,2025-10-14,20:40:26,639,WET,32.3,35.0,Clear,27.8,28,No,STOP,0,4
2025-10-14 20:41:28,2025-10-14,20:41:28,625,WET,32.8,35.0,Clear,27.8,28,No,STOP,0,8
2025-10-14 20:41:56,2025-10-14,20:41:56,639,WET,32.8,34.0,Clear,27.8,28,No,STOP,0,8
2025-10-14 20:42:06,2025-10-14,20:42:06,641,WET,32.8,34.0,Clear,27.8,28,No,STOP,0,8
2025-10-14 20:42:29,2025-10-14,20:42:29,645,WET,32.8,34.0,Clear,27.8,28,No,STOP,0,8
2025-10-15 13:52:54,2025-10-15,13:52:54,611,WET,33.6,31.0,Sunny,33.7,15,No,STOP,0,5
2025-10-15 13:53:55,2025-10-15,13:53:55,630,WET,33.8,30.0,Sunny,33.7,15,No,STOP,0,5
2025-10-15 13:54:56,2025-10-15,13:54:56,635,WET,33.8,30.0,Sunny,33.7,15,No,STOP,0,5
2025-10-15 13:55:59,2025-10-15,13:55:59,637,WET,33.8,31.0,Sunny,33.7,15,No,STOP,0,5
2025-10-15 13:57:00,2025-10-15,13:57:00,1,DRY,33.3,30.0,Sunny,33.7,15,No,IRRIGATE,0,15
2025-10-15 13:58:02,2025-10-15,13:58:02,0,DRY,33.3,30.0,Sunny,34.0,14,No,IRRIGATE,0,24
2025-10-15 13:59:02,2025-10-15,13:59:02,669,WET,33.3,30.0,Sunny,34.0,14,No,STOP,0,27
2025-10-15 14:00:17,2025-10-15,14:00:17,669,WET,33.8,31.0,Sunny,34.0,14,No,STOP,0,0
